chain_len,total_time_ms
10,0.007615
10,0.00247
10,0.00243
10,0.002128
10,0.002088
28,0.016556
28,0.01288
28,0.012436
28,0.012372
28,0.012395
77,0.116522
77,0.08962
77,0.084602
77,0.140074
77,0.085328
215,0.67095
215,0.682048
215,0.717938
215,0.729599
215,0.659537
599,5.206331
599,5.378742
599,5.389571
599,5.252877
599,5.332748
1668,43.684481
1668,41.312408
1668,41.273804
1668,41.805464
1668,41.443694
4642,329.744357
4642,346.208345
4642,358.603948
4642,329.211773
4642,316.955109
12915,2500.959326
12915,2529.202105
12915,2548.163342
12915,2800.250808
12915,2753.821135
35938,20546.296589
35938,20550.577414
35938,20382.24529
35938,20281.864614
35938,20488.499321
100000,159260.491108
100000,157732.49436
100000,157228.560181
100000,157728.297724
100000,157065.256177
