chain_len,label_time_ms,build_time_ms,force_time_ms,total_time_ms
10,0.5013120174407959,1.2963839769363403,0.7512959837913513,2.5489919781684875
10,0.3344320058822632,1.2206079959869385,0.5405439734458923,2.095583975315094
10,0.19251200556755066,0.5775039792060852,0.5410879850387573,1.3111039698123932
10,0.1828799992799759,0.5906239748001099,0.4928959906101227,1.2663999646902084
10,0.17744000256061554,0.5902720093727112,0.48742398619651794,1.2551359981298447
28,0.19257600605487823,0.5878400206565857,1.0196800231933594,1.8000960499048233
28,0.19513599574565887,0.5751680135726929,1.0240000486373901,1.7943040579557419
28,0.17705599963665009,0.5603200197219849,1.0137920379638672,1.7511680573225021
28,0.18963199853897095,0.5462719798088074,1.0333119630813599,1.7692159414291382
28,0.1945279985666275,0.5212479829788208,1.0158400535583496,1.731616035103798
77,0.1884160041809082,0.5638399720191956,2.248800039291382,3.0010560154914856
77,0.2744320034980774,0.9329919815063477,2.3000640869140625,3.5074880719184875
77,0.19459199905395508,0.746720016002655,2.2306559085845947,3.171967923641205
77,0.29260799288749695,0.7290880084037781,2.2282559871673584,3.2499519884586334
77,0.27856001257896423,0.7120320200920105,2.29584002494812,3.286432057619095
215,0.19289599359035492,0.5366719961166382,4.118336200714111,4.847904190421104
215,0.18751999735832214,0.5901439785957336,4.134912014007568,4.912575989961624
215,0.19046400487422943,0.5241919755935669,4.118175983428955,4.832831963896751
215,0.18432000279426575,0.5918400287628174,4.143775939941406,4.919935971498489
215,0.20956799387931824,0.593887984752655,4.133823871612549,4.937279850244522
599,0.19702400267124176,0.5918400287628174,7.057568073272705,7.846432104706764
599,0.20297600328922272,0.5991680026054382,7.065695762634277,7.867839768528938
599,0.21139200031757355,0.6000639796257019,7.057407855987549,7.868863835930824
599,0.18054400384426117,0.5547199845314026,7.04531192779541,7.780575916171074
599,0.20390400290489197,0.5288320183753967,7.066976070404053,7.799712091684341
1668,0.26470398902893066,0.7188799977302551,7.755904197692871,8.739488184452057
1668,0.23004800081253052,0.6638079881668091,7.747583866119385,8.641439855098724
1668,0.21087999641895294,0.6123520135879517,7.785888195037842,8.609120205044746
1668,0.22140799462795258,0.5652160048484802,7.7066240310668945,8.493248030543327
1668,0.18646399676799774,0.5775039792060852,7.7139201164245605,8.477888092398643
4642,0.3420479893684387,0.8868160247802734,9.310720443725586,10.539584457874298
4642,0.21590399742126465,0.601311981678009,9.281344413757324,10.098560392856598
4642,0.20822399854660034,0.6082559823989868,9.284895896911621,10.101375877857208
4642,0.2683520019054413,0.8355519771575928,9.320480346679688,10.424384325742722
4642,0.3258560001850128,0.8514559864997864,9.323807716369629,10.501119703054428
12915,0.36428800225257874,0.9188479781150818,33.974273681640625,35.257409662008286
12915,0.2750079929828644,0.6919360160827637,33.89440155029297,34.8613455593586
12915,0.2526400089263916,0.6181439757347107,33.915489196777344,34.786273181438446
12915,0.24163199961185455,0.6532800197601318,33.90278244018555,34.79769445955753
12915,0.24780799448490143,0.6503999829292297,33.91680145263672,34.81500943005085
35938,0.47891199588775635,0.8751040101051331,76.78265380859375,78.13666981458664
35938,0.45660799741744995,1.100607991218567,62.971649169921875,64.52886515855789
35938,0.42419201135635376,0.8581439852714539,52.134334564208984,53.41667056083679
35938,0.4097599983215332,0.8548160195350647,51.70172882080078,52.96630483865738
35938,0.3154880106449127,0.8027840256690979,51.27033615112305,52.38860818743706
100000,0.6328319907188416,1.3167359828948975,193.67904663085938,195.6286146044731
100000,0.6906560063362122,0.9073600172996521,130.06057739257812,131.658593416214
100000,0.37648001313209534,0.7574719786643982,92.82307434082031,93.9570263326168
100000,0.26761600375175476,0.634880006313324,88.43682861328125,89.33932462334633
100000,0.2770240008831024,0.6860799789428711,89.22930908203125,90.19241306185722
